,battery_power,bluetooth,weight,memory,n_cores,ram,dual_sim,wifi,pixel_height,pixel_width,price_range
441,1654,NO,146,11,7.0,1070,NO,1,1184,1719,1.0
442,902,YES,134,3,7.0,3411,NO,1,675,1285,3.0
443,1448,NO,156,26,3.0,1175,1,0,1792,1850,1.0
444,1631,NO,198,3,7.0,301,1,0,177,1905,0.0
445,1608,NO,183,28,2.0,489,1,1,1013,1158,0.0
446,1991,YES,145,64,2.0,1733,NO,0,1058,1325,2.0
447,1349,NO,114,62,5.0,2756,1,0,592,772,2.0
448,1589,NO,195,51,1.0,2612,NO,0,810,1743,2.0
449,1844,YES,158,51,8.0,1724,1,1,533,882,1.0
450,712,YES,84,35,2.0,2190,1,1,558,1208,1.0
451,972,YES,107,54,3.0,1900,NO,1,681,1050,1.0
452,1406,NO,98,34,3.0,3915,1,1,1017,1366,3.0
453,1289,NO,178,25,6.0,1043,NO,0,765,899,0.0
454,932,NO,154,64,7.0,3817,NO,1,1176,1224,3.0
455,1747,YES,94,48,3.0,2362,NO,0,947,1131,2.0
456,1172,YES,95,41,3.0,1107,1,0,1314,1884,1.0
457,1128,YES,84,53,5.0,2982,NO,0,609,1370,3.0
458,664,NO,106,28,5.0,2042,1,0,754,1497,1.0
459,513,YES,186,44,4.0,1343,NO,0,619,867,0.0
460,1742,NO,170,43,7.0,2610,1,1,453,681,2.0
461,1512,YES,162,6,7.0,2335,NO,1,205,884,2.0
462,1986,NO,165,51,8.0,1614,1,1,282,1358,1.0
463,965,YES,109,13,2.0,1138,1,0,130,998,0.0
464,1067,YES,122,40,8.0,604,1,0,494,1989,0.0
465,1583,YES,118,42,3.0,3652,0,0,275,862,3.0
466,1653,NO,176,37,4.0,3955,1,1,447,1785,3.0
467,1433,NO,133,4,8.0,258,0,1,281,799,0.0
468,765,NO,153,18,7.0,1066,0,0,6,793,0.0
469,1845,YES,96,61,1.0,1731,1,0,292,695,1.0
470,752,NO,87,48,7.0,3860,1,0,164,728,3.0
471,1948,NO,100,16,5.0,3630,1,0,631,1940,3.0
472,1077,NO,174,45,3.0,1965,1,0,897,1304,1.0
473,932,YES,104,60,4.0,1459,0,0,268,1078,0.0
474,1968,NO,115,22,3.0,2323,0,1,861,1259,2.0
475,1122,NO,120,2,4.0,3291,0,1,331,790,2.0
476,1588,NO,159,61,1.0,3272,0,0,1064,1594,3.0
477,601,NO,101,26,4.0,918,0,0,509,548,0.0
478,1615,NO,132,15,4.0,3488,0,1,622,1256,3.0
479,1589,YES,128,58,4.0,3961,1,1,957,1911,3.0
480,1417,YES,114,56,6.0,590,0,1,494,1649,0.0
481,1697,YES,95,34,1.0,3701,0,0,236,1264,3.0
482,1330,YES,83,3,5.0,463,1,1,980,1262,0.0
483,1476,NO,148,43,2.0,3644,0,1,1789,1972,3.0
484,1579,YES,142,27,6.0,1713,0,1,831,1484,1.0
485,1277,NO,200,41,4.0,429,0,1,902,1090,0.0
486,1089,YES,145,2,5.0,2765,1,1,636,1259,2.0
487,1663,YES,169,27,4.0,2084,1,0,831,1439,2.0
488,1949,NO,186,20,5.0,1125,0,0,518,592,1.0
489,1138,NO,109,48,3.0,2048,0,1,233,1777,2.0
490,685,NO,174,17,6.0,1223,0,1,725,870,0.0
491,1889,NO,132,31,1.0,3672,0,1,170,1106,3.0
492,857,YES,195,17,7.0,3100,1,0,157,948,2.0
493,1902,NO,124,50,8.0,343,1,0,1142,1393,0.0
494,1225,YES,155,15,5.0,1970,0,0,840,982,1.0
495,1066,NO,131,39,5.0,2728,0,1,401,1586,2.0
496,1554,YES,124,5,3.0,3635,1,0,395,1579,3.0
497,1337,NO,186,31,2.0,2180,0,1,48,644,1.0
498,1926,YES,172,33,3.0,2488,1,0,982,1157,2.0
499,869,NO,104,34,2.0,3864,1,0,478,539,3.0
500,1278,YES,104,54,8.0,1155,1,1,581,750,0.0
501,1773,YES,170,32,6.0,3566,0,1,1215,1472,3.0
502,1661,YES,109,6,7.0,864,1,1,594,1337,1.0
503,1438,NO,176,32,7.0,869,0,1,683,1663,0.0
504,1661,YES,119,29,2.0,591,0,1,536,861,0.0
505,1846,YES,159,19,1.0,1333,0,1,83,773,1.0
506,1260,YES,123,23,7.0,2208,1,1,905,1313,2.0
507,512,YES,83,15,3.0,2610,1,1,249,1849,2.0
508,581,NO,185,59,5.0,2819,0,1,803,1613,2.0
509,1872,YES,134,44,3.0,1955,0,1,459,1259,2.0
510,687,YES,151,50,4.0,3416,0,0,584,1151,3.0
511,1062,YES,160,10,1.0,3803,1,1,1596,1807,3.0
512,1678,YES,192,7,1.0,574,1,0,418,1763,0.0
513,1417,YES,166,45,4.0,2129,0,1,364,1029,1.0
514,1074,NO,103,9,6.0,1948,1,1,946,952,1.0
515,1832,NO,90,2,7.0,2978,0,0,186,654,2.0
516,1039,NO,200,12,8.0,1619,0,1,1428,1827,1.0
517,1059,NO,134,61,3.0,3716,0,0,1613,1916,3.0
518,1606,NO,154,57,4.0,3454,0,1,1127,1924,3.0
519,1928,YES,187,19,3.0,3777,0,1,691,1580,3.0
520,1875,YES,91,55,1.0,2712,1,1,1802,1942,3.0
521,1128,YES,135,46,8.0,1434,0,0,751,1582,1.0
522,1748,NO,146,14,3.0,3968,1,1,859,1234,3.0
523,1413,NO,117,51,5.0,3383,1,0,187,517,3.0
524,825,NO,86,23,2.0,3278,1,1,206,1917,3.0
525,1589,YES,100,26,8.0,3970,0,1,1673,1759,3.0
526,535,YES,145,54,8.0,2674,1,0,710,939,2.0
527,1780,YES,190,27,4.0,2776,0,1,1331,1463,3.0
528,1671,NO,129,61,2.0,2336,1,0,263,848,2.0
529,1821,NO,114,12,1.0,2430,0,1,97,1803,2.0
530,1076,YES,119,38,6.0,891,0,0,129,915,0.0
531,532,YES,193,8,5.0,728,1,0,1213,1354,0.0
532,777,YES,148,30,5.0,3886,0,0,189,1143,3.0
533,1217,YES,182,17,4.0,1711,0,1,628,632,1.0
534,1656,YES,117,16,7.0,2856,1,1,320,899,2.0
535,1185,NO,152,31,8.0,2447,0,1,837,1642,2.0
536,577,NO,161,37,6.0,814,0,1,1087,1450,0.0
537,737,YES,193,49,4.0,2951,1,0,781,1463,2.0
538,704,NO,186,53,6.0,3653,1,1,251,1013,2.0
539,525,YES,137,51,8.0,1891,1,0,262,1587,1.0
540,504,YES,166,16,1.0,701,1,1,767,1665,0.0
541,793,NO,176,38,4.0,3139,1,1,1226,1815,3.0
542,569,NO,184,39,8.0,2811,1,1,389,739,1.0
543,1590,NO,160,21,5.0,1701,1,1,920,963,1.0
544,707,NO,194,16,2.0,1853,0,1,1027,1508,1.0
545,767,NO,185,19,6.0,2445,0,1,271,1000,1.0
546,1350,YES,181,50,8.0,2287,1,0,369,544,1.0
547,1117,YES,146,31,2.0,2003,1,1,1258,1627,2.0
548,641,YES,192,7,1.0,3595,0,1,417,759,2.0
549,1002,NO,83,35,2.0,1726,1,1,1345,1416,1.0
550,1408,YES,89,45,5.0,3952,1,1,613,1088,3.0
551,1900,YES,190,41,8.0,850,1,1,912,1596,1.0
552,726,NO,101,43,8.0,1446,0,0,666,760,0.0
553,1544,NO,113,45,8.0,1300,0,0,236,857,1.0
554,1454,YES,160,21,4.0,719,0,1,186,1100,0.0
555,1230,YES,123,26,5.0,988,1,1,416,676,0.0
556,1552,NO,180,53,8.0,2606,0,0,430,658,2.0
557,1519,NO,200,32,1.0,2912,0,0,168,1239,2.0
558,723,YES,102,30,1.0,2339,0,1,1467,1901,2.0
559,1191,NO,169,13,1.0,1028,1,1,179,1813,0.0
560,1168,NO,90,61,8.0,3173,0,1,159,1578,3.0
561,1229,NO,191,14,2.0,1667,1,1,120,1878,1.0
562,1758,YES,190,13,8.0,1897,0,0,762,1864,2.0
563,1290,NO,143,3,6.0,1214,0,1,600,1109,1.0
564,574,NO,90,38,6.0,3269,1,0,286,1171,2.0
565,1271,YES,113,32,7.0,445,0,1,1350,1949,0.0
566,1170,YES,83,30,8.0,1073,0,0,27,1722,0.0
567,1269,YES,118,52,2.0,665,0,0,1597,1920,1.0
568,1288,NO,121,50,2.0,3129,1,0,1177,1809,3.0
569,1366,YES,150,34,2.0,3501,1,0,402,964,3.0
570,1572,YES,169,8,5.0,3461,1,1,577,1237,3.0
571,1627,NO,180,32,6.0,3206,1,0,52,1082,3.0
572,1701,YES,115,46,2.0,3717,0,0,364,828,3.0
573,1900,YES,171,55,1.0,3917,1,1,934,1241,3.0
574,1974,NO,80,24,7.0,861,0,1,250,545,0.0
575,1197,YES,129,20,5.0,2885,1,1,214,1710,2.0
576,587,YES,170,6,1.0,2777,1,0,612,1793,2.0
577,934,NO,112,24,5.0,1017,0,1,1111,1463,0.0
578,1195,NO,82,23,4.0,980,1,0,163,1100,0.0
579,1853,YES,92,23,1.0,2775,0,0,202,1951,3.0
580,1164,NO,95,19,8.0,3309,0,1,729,1704,3.0
581,1512,YES,88,18,3.0,3607,0,1,1079,1897,3.0
582,1232,NO,169,24,5.0,1257,1,0,361,809,0.0
583,1813,YES,198,5,3.0,759,1,0,338,1306,0.0
584,946,YES,166,5,3.0,3720,1,0,1698,1771,3.0
585,739,YES,88,58,3.0,475,1,1,1052,1536,0.0
586,704,YES,80,29,1.0,1122,0,1,1108,1509,0.0
587,1663,YES,147,40,4.0,1336,0,0,951,1545,1.0
588,1966,YES,185,40,8.0,1185,1,0,1197,1987,2.0
589,1219,NO,196,17,5.0,705,1,1,473,1022,0.0
590,612,YES,181,35,5.0,3169,0,0,1294,1337,2.0
591,1658,YES,182,39,1.0,3483,0,1,410,522,3.0
592,1263,NO,175,64,5.0,1183,0,1,178,1883,1.0
593,1395,YES,118,55,3.0,3373,0,0,782,1787,3.0
594,621,YES,151,54,4.0,2801,1,1,434,910,2.0
595,652,NO,142,58,3.0,565,1,1,464,781,0.0
596,1175,NO,145,25,2.0,3153,0,0,137,1501,2.0
597,561,YES,163,11,8.0,3421,0,1,492,1176,2.0
598,1137,NO,173,3,5.0,316,0,0,1250,1285,0.0
599,1835,YES,193,11,7.0,448,0,0,385,583,0.0
600,1170,NO,169,40,6.0,2366,1,1,427,684,1.0
601,1595,YES,85,44,4.0,3881,1,1,1024,1838,3.0
602,1719,YES,122,12,8.0,462,0,0,240,904,0.0
603,1770,NO,128,7,7.0,1480,1,0,886,1552,1.0
604,1312,NO,163,28,2.0,1087,1,0,1233,1854,1.0
605,1878,NO,139,56,5.0,2711,1,1,183,559,2.0
606,1871,YES,81,20,7.0,2144,0,1,88,1682,2.0
607,922,NO,188,35,7.0,1165,1,1,1016,1383,0.0
608,1975,YES,128,16,8.0,2998,0,0,80,655,2.0
609,1212,NO,102,46,4.0,2249,0,1,611,1715,2.0
610,1430,YES,179,56,3.0,752,0,1,569,906,0.0
611,1958,YES,190,4,2.0,1409,1,0,304,637,1.0
612,1836,YES,184,30,7.0,3072,1,0,276,1230,3.0
613,557,YES,125,24,3.0,1305,0,1,1131,1315,0.0
614,539,YES,145,21,7.0,3597,1,0,551,599,2.0
615,880,NO,172,44,8.0,3132,1,1,436,1302,2.0
616,1369,YES,162,34,1.0,3856,1,1,553,727,3.0
617,1109,YES,98,39,1.0,1524,1,1,1391,1787,1.0
618,843,NO,166,16,5.0,3673,1,1,981,1096,3.0
619,598,NO,196,21,2.0,3293,1,1,680,1173,2.0
620,972,YES,126,5,4.0,3035,1,1,687,816,2.0
621,1944,YES,197,36,6.0,584,0,0,1060,1970,1.0
622,1225,NO,138,2,7.0,2675,1,0,217,1101,2.0
623,644,YES,114,30,1.0,2382,1,1,1140,1654,2.0
624,1919,NO,150,48,4.0,1391,0,1,304,1191,1.0
625,501,NO,131,54,4.0,2346,0,1,504,1089,1.0
626,1620,YES,185,30,3.0,606,1,0,832,1033,0.0
627,1227,YES,130,34,3.0,1324,1,1,935,1781,1.0
628,1359,YES,107,58,6.0,1076,1,1,446,901,0.0
629,1914,NO,118,35,8.0,643,0,1,942,1701,1.0
630,1645,YES,123,21,7.0,783,0,0,897,1308,0.0
631,1063,YES,101,26,5.0,3809,0,1,1208,1232,3.0
632,946,NO,154,19,8.0,2104,0,0,159,630,1.0
633,1231,NO,185,54,3.0,1762,1,0,632,1184,1.0
634,1397,NO,87,9,6.0,3137,1,1,1308,1991,3.0
635,701,YES,160,15,3.0,1756,0,1,1002,1256,1.0
636,570,YES,111,9,7.0,3663,1,0,1331,1917,3.0
637,1993,YES,147,27,8.0,2437,0,0,150,510,2.0
638,955,NO,143,43,5.0,1432,1,1,1248,1511,1.0
639,924,NO,167,47,8.0,1620,1,0,108,1813,1.0
640,600,NO,112,14,5.0,1655,0,0,320,747,0.0
641,518,NO,178,3,7.0,2832,1,1,437,1947,2.0
642,1063,YES,95,31,6.0,961,0,0,295,935,0.0
643,920,YES,149,46,3.0,2608,0,1,1058,1421,2.0
644,1715,NO,171,3,5.0,514,0,0,79,1652,0.0
645,1841,YES,167,14,8.0,2304,1,1,593,672,2.0
646,543,YES,132,60,5.0,933,1,0,693,1031,0.0
647,1762,YES,189,25,1.0,1896,1,1,300,527,1.0
648,1112,YES,121,53,4.0,3655,1,0,234,739,3.0
649,709,YES,136,35,1.0,1973,1,1,1545,1596,1.0
650,1315,YES,128,64,7.0,3278,0,0,59,575,2.0
651,1762,YES,107,15,8.0,2183,0,0,1103,1364,2.0
652,1462,YES,182,25,7.0,824,1,1,91,1478,0.0
653,571,NO,186,35,7.0,2598,1,0,177,1282,1.0
654,666,YES,81,54,3.0,1254,1,1,58,1353,0.0
655,1994,NO,146,7,8.0,3622,1,1,447,1435,3.0
656,1583,YES,148,14,7.0,1704,1,1,942,1651,2.0
657,1778,NO,132,45,4.0,1624,1,0,88,516,1.0
658,1926,YES,179,50,6.0,3809,0,0,371,1000,3.0
659,966,YES,117,50,4.0,2574,0,1,1446,1754,2.0
660,568,NO,179,36,3.0,950,0,0,181,1703,0.0
661,1897,NO,192,21,8.0,273,0,1,1311,1935,0.0
662,1695,NO,200,46,3.0,446,1,1,1791,1898,1.0
663,1623,YES,120,61,7.0,1510,0,0,1568,1832,2.0
664,914,YES,147,26,4.0,1122,0,1,706,721,0.0
665,1721,YES,128,33,4.0,707,1,1,871,1048,0.0
666,890,YES,198,44,8.0,751,1,0,1074,1873,0.0
667,600,NO,191,48,3.0,3393,0,0,501,1465,2.0
668,1677,NO,124,11,6.0,3771,1,0,271,1477,3.0
669,723,NO,168,3,4.0,1851,0,0,920,1748,1.0
670,638,NO,102,27,4.0,2735,1,0,1171,1383,2.0
671,852,NO,104,62,7.0,2253,1,0,293,1159,1.0
672,1979,YES,165,32,7.0,452,1,0,833,1630,0.0
673,710,YES,151,32,5.0,1419,0,0,485,857,0.0
674,1034,NO,190,45,3.0,969,1,0,182,1293,0.0
675,600,NO,145,22,1.0,3441,1,0,207,1162,2.0
676,1027,NO,103,64,2.0,3786,0,0,1698,1747,3.0
677,1260,NO,106,13,6.0,2710,0,0,165,736,2.0
678,1793,NO,169,12,6.0,3533,1,1,1086,1418,3.0
679,675,NO,144,60,5.0,1735,0,1,192,757,0.0
680,658,YES,103,12,7.0,3587,0,0,1156,1750,3.0
681,1694,YES,102,34,7.0,2298,0,0,377,549,2.0
682,804,YES,89,41,1.0,2027,1,0,709,818,1.0
683,1713,NO,127,27,7.0,2406,1,1,729,974,2.0
684,706,NO,108,31,3.0,2419,0,1,543,938,1.0
685,1362,NO,131,25,7.0,995,0,1,553,1505,0.0
686,1527,NO,154,60,5.0,2078,0,1,526,1116,2.0
687,768,NO,159,19,2.0,1145,1,1,637,991,0.0
688,1314,NO,155,41,4.0,626,1,1,113,577,0.0
689,705,YES,155,57,6.0,1509,0,1,1114,1374,1.0
690,1403,NO,164,26,5.0,3371,0,1,461,1251,3.0
691,1486,NO,85,52,4.0,297,0,0,1430,1747,0.0
692,781,NO,198,38,5.0,3508,0,1,304,1674,3.0
693,986,YES,183,23,8.0,2385,0,0,471,800,1.0
694,1310,NO,105,33,1.0,1301,0,1,806,1016,1.0
695,560,YES,81,57,3.0,2167,1,1,80,1327,1.0
696,1348,NO,116,43,5.0,3914,0,1,204,501,3.0
697,1567,NO,119,22,6.0,2312,1,0,545,1621,2.0
698,1940,YES,93,17,5.0,2297,1,0,112,858,2.0
699,1979,YES,176,19,3.0,411,1,1,1331,1532,0.0
700,561,YES,193,2,3.0,665,1,0,1055,1294,0.0
701,1717,YES,130,62,1.0,3226,0,0,609,810,3.0
702,535,NO,113,48,1.0,740,0,0,290,811,0.0
703,1413,NO,185,39,5.0,3878,1,0,1039,1318,3.0
704,1358,NO,135,20,7.0,3406,1,1,1485,1655,3.0
705,1519,NO,112,30,7.0,2440,0,1,1122,1702,2.0
706,1254,NO,108,50,5.0,3959,1,0,462,1013,3.0
707,1591,YES,154,49,6.0,3703,0,0,1384,1883,3.0
708,977,YES,165,35,2.0,3714,1,1,1502,1862,3.0
709,1640,YES,169,21,7.0,337,0,0,589,1301,0.0
710,663,NO,183,25,2.0,3176,1,1,82,1605,2.0
711,1744,YES,112,20,8.0,1205,0,0,68,718,1.0
712,1624,NO,150,28,2.0,2473,1,0,689,699,2.0
713,1108,YES,169,2,7.0,1229,1,0,208,1742,0.0
714,1188,YES,114,9,2.0,2896,1,1,1339,1558,3.0
715,817,NO,144,11,3.0,2039,0,0,722,766,1.0
716,863,NO,133,6,4.0,520,1,1,717,1799,0.0
717,1397,NO,121,3,3.0,1378,1,1,433,1658,1.0
718,1108,NO,140,49,5.0,3254,0,0,1298,1666,3.0
719,1068,NO,184,37,7.0,1803,1,0,186,1998,1.0
720,1702,YES,145,52,2.0,2501,0,0,1397,1491,3.0
721,808,NO,192,8,4.0,3762,1,1,618,1891,3.0
722,1156,NO,89,61,7.0,1796,0,1,1214,1262,1.0
723,1271,NO,159,54,8.0,990,1,1,613,650,0.0
724,696,NO,197,51,3.0,2630,0,1,649,907,1.0
725,1981,YES,175,45,6.0,1380,1,0,193,1234,1.0
726,614,NO,128,58,7.0,3487,1,1,22,519,2.0
727,1590,NO,122,7,3.0,1201,1,1,1464,1595,1.0
728,1945,NO,113,21,3.0,3015,0,0,280,895,3.0
729,1135,YES,158,43,1.0,3204,1,0,690,1589,3.0
730,1049,NO,172,2,6.0,433,1,0,39,1564,0.0
731,1807,YES,125,49,1.0,1906,0,1,337,1384,2.0
732,984,YES,98,42,7.0,898,0,0,1036,1611,0.0
733,720,YES,96,61,7.0,2799,1,1,1347,1733,3.0
734,1536,NO,105,13,7.0,2020,0,0,22,1634,2.0
735,771,YES,86,25,4.0,770,0,0,327,922,0.0
736,503,NO,185,57,6.0,305,0,1,778,1291,0.0
737,675,NO,187,42,7.0,2953,0,0,482,874,2.0
738,1936,YES,182,34,7.0,1671,1,1,591,1089,1.0
739,1303,NO,138,15,3.0,2574,1,1,229,1604,2.0
740,1004,YES,141,35,6.0,3772,1,1,901,1162,3.0
741,1972,NO,102,37,2.0,2870,1,0,715,1648,3.0
742,1822,NO,195,8,6.0,2577,0,0,172,910,2.0
743,1159,YES,83,18,1.0,2246,0,0,681,723,1.0
744,1782,YES,157,58,1.0,2405,1,1,867,999,2.0
745,894,NO,168,16,8.0,3377,1,1,286,1300,2.0
746,1884,NO,185,43,1.0,3619,1,1,451,819,3.0
747,1648,YES,142,17,2.0,1184,0,1,1119,1238,1.0
748,798,NO,96,4,3.0,2965,0,0,526,643,2.0
749,802,YES,157,45,3.0,3713,1,0,1299,1633,3.0
750,1276,YES,130,53,2.0,3798,1,1,217,735,3.0
751,1331,YES,165,16,2.0,1026,0,1,1109,1226,1.0
752,1620,NO,186,5,6.0,1086,1,0,434,1339,1.0
753,1996,NO,122,51,4.0,2236,0,1,671,1445,2.0
754,1092,NO,185,45,1.0,1303,1,1,1404,1424,1.0
755,1018,YES,155,63,5.0,3048,1,1,856,883,2.0
756,545,NO,131,11,3.0,616,0,1,381,1452,0.0
757,554,YES,105,12,6.0,3764,0,1,85,806,2.0
758,1264,NO,171,34,3.0,419,1,1,562,849,0.0
759,1030,NO,138,58,6.0,2858,1,1,1111,1812,3.0
760,1432,YES,164,39,4.0,504,1,0,209,947,0.0
761,558,YES,142,49,5.0,392,0,1,997,1605,0.0
762,829,NO,129,56,7.0,820,0,1,91,1916,0.0
763,1741,YES,143,14,8.0,3387,0,0,730,1895,3.0
764,1849,YES,144,15,5.0,3447,0,1,606,1123,3.0
765,733,NO,174,7,7.0,1403,0,0,445,1409,0.0
766,1872,YES,80,16,2.0,2295,1,1,286,1484,2.0
767,1853,NO,197,27,6.0,1973,1,1,985,1005,2.0
768,1149,YES,106,30,6.0,3755,0,0,1617,1675,3.0
769,891,NO,196,25,2.0,2073,1,1,375,1724,1.0
770,1911,YES,163,64,8.0,3872,0,0,1795,1958,3.0
771,550,YES,145,23,2.0,302,0,0,486,1930,0.0
772,576,NO,121,27,2.0,1519,0,1,757,1518,1.0
773,1760,NO,198,50,1.0,2549,0,0,273,1704,2.0
774,969,NO,124,45,7.0,404,0,1,491,589,0.0
775,1160,NO,166,63,3.0,595,0,1,762,859,0.0
776,827,NO,160,18,2.0,1663,1,1,448,821,0.0
777,1786,NO,161,58,7.0,2764,0,1,231,1671,3.0
778,774,YES,136,8,1.0,2614,1,1,1713,1865,2.0
779,819,YES,83,11,8.0,1094,1,0,438,822,0.0
780,1042,NO,139,11,5.0,2826,0,0,68,1018,2.0
781,1368,NO,97,50,7.0,2496,1,1,698,829,2.0
782,1592,NO,181,50,2.0,2103,0,0,510,522,1.0
783,1067,NO,146,14,1.0,966,1,1,965,1009,0.0
784,1892,YES,110,47,4.0,2172,0,1,1399,1564,2.0
785,915,NO,187,56,8.0,905,0,0,532,1448,0.0
786,774,YES,124,55,3.0,3916,0,0,8,896,3.0
787,1848,YES,179,42,2.0,3902,1,1,154,605,3.0
788,1501,NO,187,2,1.0,2487,0,1,198,1056,2.0
789,1614,NO,188,55,3.0,3914,0,0,860,1330,3.0
790,911,YES,181,46,5.0,363,0,0,461,670,0.0
791,1520,NO,199,24,5.0,3233,0,1,109,1909,3.0
792,1647,NO,102,38,6.0,2532,1,1,193,1185,2.0
793,1347,NO,108,53,6.0,3836,1,1,961,1008,3.0
794,967,YES,92,25,8.0,3076,0,1,243,1642,2.0
795,1442,NO,145,56,5.0,1513,0,0,1626,1668,2.0
796,1204,YES,199,10,7.0,1724,0,0,480,1482,1.0
797,1320,NO,144,41,7.0,542,1,0,123,1229,0.0
798,1800,YES,100,8,7.0,3481,0,1,400,823,3.0
799,1567,NO,153,22,3.0,3991,1,0,190,1326,3.0
800,1439,NO,147,20,1.0,1790,0,1,626,932,1.0
801,1422,NO,112,3,1.0,509,0,1,1,926,0.0
802,1591,YES,161,52,3.0,282,1,1,548,1641,0.0
803,880,NO,198,6,4.0,3006,0,0,632,660,2.0
804,1929,YES,163,19,6.0,1913,1,0,349,1051,1.0
805,1642,YES,102,5,5.0,1333,1,1,1686,1889,2.0
806,1511,NO,114,21,3.0,3746,1,0,1455,1982,3.0
807,1312,NO,163,10,2.0,3941,0,1,95,893,3.0
808,1852,NO,196,10,1.0,3970,0,1,580,1163,3.0
809,972,YES,82,44,7.0,3925,0,0,297,589,3.0
810,691,YES,108,33,4.0,424,1,1,951,962,0.0
811,807,NO,158,8,5.0,1284,0,1,667,697,0.0
812,1113,NO,145,25,1.0,277,1,1,1047,1312,0.0
813,721,YES,125,16,1.0,1713,1,1,408,1862,1.0
814,1188,YES,198,54,6.0,485,1,0,1150,1469,0.0
815,1512,YES,131,52,1.0,3002,0,1,333,952,2.0
816,805,YES,97,64,4.0,418,0,1,641,704,0.0
817,918,NO,123,8,7.0,1652,1,0,653,671,1.0
818,1320,NO,168,48,5.0,2893,1,1,103,1583,2.0
819,1236,NO,188,57,1.0,1406,1,1,517,809,0.0
820,1387,NO,98,61,3.0,629,0,0,785,1151,0.0
821,1883,YES,95,30,2.0,3724,1,1,531,791,3.0
822,839,NO,175,14,7.0,3835,1,0,564,1391,3.0
823,1593,YES,130,52,8.0,1354,0,1,761,1336,1.0
824,1722,YES,88,25,6.0,2376,0,1,1179,1638,3.0
825,1954,NO,126,7,3.0,3438,1,0,673,690,3.0
826,1788,YES,150,2,6.0,2655,1,1,472,1073,2.0
827,1628,NO,101,33,6.0,3361,0,0,412,643,3.0
828,1965,NO,84,4,7.0,3535,0,1,977,1660,3.0
829,833,YES,124,27,1.0,2150,0,1,359,1395,1.0
830,571,NO,141,43,3.0,2587,0,0,224,783,1.0
831,1808,YES,92,31,2.0,2736,1,1,714,1208,3.0
832,1860,NO,83,55,6.0,676,1,1,195,799,0.0
833,1368,YES,115,9,7.0,2941,1,0,843,1145,3.0
834,1161,NO,126,21,8.0,3336,1,1,308,1169,3.0
835,1224,YES,157,33,1.0,3796,0,0,522,563,3.0
836,902,YES,122,63,5.0,3654,1,1,364,1360,3.0
837,787,YES,93,11,1.0,2934,0,1,806,1423,2.0
838,854,NO,125,30,8.0,2889,0,1,518,1152,2.0
839,1184,NO,191,48,1.0,3315,1,1,519,1577,3.0
840,1973,NO,152,39,4.0,1993,1,0,792,1181,2.0
841,510,NO,120,35,3.0,2509,1,1,382,1228,1.0
842,966,NO,118,34,2.0,3534,0,1,214,1523,3.0
843,1438,YES,169,16,8.0,2246,0,0,859,867,2.0
844,1986,NO,95,51,3.0,3165,0,0,342,774,3.0
845,1907,NO,105,55,7.0,286,0,1,713,1513,0.0
846,1489,NO,200,32,1.0,776,1,0,172,812,0.0
847,1843,YES,134,16,6.0,3213,1,0,118,580,3.0
848,825,YES,94,38,3.0,716,0,0,540,783,0.0
849,1286,YES,98,16,2.0,424,0,0,18,662,0.0
850,840,NO,137,63,7.0,3486,0,0,987,1081,3.0
851,757,NO,163,58,4.0,3237,1,1,535,697,2.0
852,814,YES,177,41,2.0,1944,1,0,1092,1406,1.0
853,1195,YES,80,8,6.0,643,1,0,327,1001,0.0
854,767,NO,107,10,4.0,2317,0,1,517,1995,2.0
855,1068,NO,97,52,8.0,1436,0,0,994,1500,1.0
856,994,YES,173,56,3.0,3190,1,1,491,530,2.0
857,1550,YES,133,21,2.0,2338,0,0,268,832,2.0
858,1878,YES,85,29,8.0,1334,0,0,210,1026,1.0
859,623,NO,127,6,3.0,3657,0,0,144,672,2.0
860,1829,YES,160,15,5.0,2080,0,1,729,1267,2.0
861,525,NO,190,35,7.0,1609,1,0,82,670,0.0
862,1065,YES,89,14,2.0,3078,0,1,188,928,2.0
863,1425,NO,127,35,8.0,590,0,1,150,1897,0.0
864,1296,NO,129,11,7.0,2552,1,1,1222,1382,2.0
865,642,NO,197,34,2.0,3355,0,0,331,1011,2.0
866,1664,YES,177,15,7.0,1968,1,0,1178,1929,2.0
867,1498,YES,170,8,7.0,3358,0,0,347,1076,3.0
868,981,YES,136,2,3.0,1539,1,0,75,688,0.0
869,1236,YES,143,32,4.0,942,0,1,492,1403,0.0
870,1673,NO,187,9,3.0,3669,1,1,65,734,3.0
871,712,YES,172,9,2.0,3612,0,0,881,1234,3.0
872,569,YES,170,4,3.0,2351,1,0,351,1159,1.0
873,603,YES,156,64,6.0,604,1,1,1842,1968,0.0
874,1332,NO,187,11,2.0,1285,1,0,758,1165,1.0
875,1413,NO,128,13,1.0,515,0,0,1323,1481,0.0
876,1064,NO,184,34,6.0,654,1,0,1175,1569,0.0
877,1444,NO,82,48,5.0,2540,0,1,1092,1554,3.0
878,1366,YES,161,53,5.0,3869,1,1,647,1876,3.0
879,906,NO,136,18,2.0,3412,1,0,1102,1793,3.0
880,1554,NO,185,47,5.0,509,1,0,319,1367,0.0
881,1187,NO,122,21,6.0,2547,0,0,215,1125,2.0
882,1156,YES,173,30,3.0,2735,1,1,945,1913,2.0
883,1918,NO,139,22,1.0,1369,0,1,381,1203,1.0
884,841,YES,199,39,6.0,2942,1,1,546,828,2.0
